post_yn,cloud_software_required,database_software_required,statistic_software_required,programming_language_required,linkedin_url
yes,Hive,SQL,R,Python,https://www.linkedin.com/jobs2/view/26909460?trk=vsrp_jobs_res_name&trkInfo=VSRPsearchId%3A2481085421420734911710%2CVSRPtargetId%3A26909460%2CVSRPcmpt%3Aprimary
yes,,SQL,,Python,https://www.linkedin.com/jobs2/view/18721409?trk=vsrp_jobs_res_name&trkInfo=VSRPsearchId%3A2481085421420734911710%2CVSRPtargetId%3A18721409%2CVSRPcmpt%3Aprimary
yes,NoSQL,SQL,,Python,https://www.linkedin.com/jobs2/view/13715592?trk=vsrp_jobs_res_name&trkInfo=VSRPsearchId%3A2481085421420734911710%2CVSRPtargetId%3A13715592%2CVSRPcmpt%3Aprimary
yes,NoSQL,SQL,SPSS,Python,https://www.linkedin.com/jobs2/view/13529837?trk=vsrp_jobs_res_name&trkInfo=VSRPsearchId%3A2481085421420734911710%2CVSRPtargetId%3A13529837%2CVSRPcmpt%3Aprimary
yes,Pig,,R,Python,https://www.linkedin.com/jobs2/view/38267683?trk=vsrp_jobs_res_name&trkInfo=VSRPsearchId%3A2481085421420734911710%2CVSRPtargetId%3A38267683%2CVSRPcmpt%3Aprimary
yes,NoSQL,SQL,SPSS,Python,https://www.linkedin.com/jobs2/view/25884513?trk=vsrp_jobs_res_name&trkInfo=VSRPsearchId%3A2481085421420734911710%2CVSRPtargetId%3A25884513%2CVSRPcmpt%3Aprimary
yes,,SQL,R,Python,https://www.linkedin.com/jobs2/view/38319089?trk=vsrp_jobs_res_name&trkInfo=VSRPsearchId%3A2481085421420734911710%2CVSRPtargetId%3A38319089%2CVSRPcmpt%3Aprimary
yes,,,SAS,,https://www.linkedin.com/jobs2/view/26919135?trk=vsrp_jobs_res_name&trkInfo=VSRPsearchId%3A2481085421420734911710%2CVSRPtargetId%3A26919135%2CVSRPcmpt%3Aprimary
yes,,,SAS,Python,https://www.linkedin.com/jobs2/view/26918241?trk=vsrp_jobs_res_name&trkInfo=VSRPsearchId%3A2481085421420734911710%2CVSRPtargetId%3A26918241%2CVSRPcmpt%3Aprimary
yes,MapReduce/Elastic MapReduce,SQL,SAS,Python,https://www.linkedin.com/jobs2/view/26900269?trk=vsrp_jobs_res_name&trkInfo=VSRPsearchId%3A2481085421420734911710%2CVSRPtargetId%3A26900269%2CVSRPcmpt%3Aprimary
yes,Hive,SQL,R,Python,https://www.linkedin.com/jobs2/view/12103692?trk=vsrp_jobs_res_name&trkInfo=VSRPsearchId%3A2481085421420734911710%2CVSRPtargetId%3A12103692%2CVSRPcmpt%3Aprimary
yes,MapReduce/Elastic MapReduce,SQL,STATA,Python,https://www.linkedin.com/jobs2/view/12111663?trk=vsrp_jobs_res_name&trkInfo=VSRPsearchId%3A2481085421420734942029%2CVSRPtargetId%3A12111663%2CVSRPcmpt%3Aprimary
yes,,SQL,,,https://www.linkedin.com/jobs2/view/26937411?trk=vsrp_jobs_res_name&trkInfo=VSRPsearchId%3A2481085421420734942029%2CVSRPtargetId%3A26937411%2CVSRPcmpt%3Aprimary
yes,,SQL,,,https://www.linkedin.com/jobs2/view/38309689?trk=vsrp_jobs_res_name&trkInfo=VSRPsearchId%3A2481085421420734942029%2CVSRPtargetId%3A38309689%2CVSRPcmpt%3Aprimary
yes,NoSQL,SQL,R,Python,https://www.linkedin.com/jobs2/view/26920393?trk=vsrp_jobs_res_name&trkInfo=VSRPsearchId%3A2481085421420734942029%2CVSRPtargetId%3A26920393%2CVSRPcmpt%3Aprimary
