"","State","District","Persons","Males","Females","Growth..1991...2001.","Rural","Urban","Scheduled.Caste.population","Percentage...SC.to.total","Number.of.households","Household.size..per.household.","Sex.ratio..females.per.1000.males.","Sex.ratio..0.6.years.","Scheduled.Tribe.population","Percentage.to.total.population..ST.","Persons..literate","Males..Literate","Females..Literate","Persons..literacy.rate","Males..Literatacy.Rate","Females..Literacy.Rate","Total.Educated","Data.without.level","Below.Primary","Primary","Middle","Matric.Higher.Secondary.Diploma","Graduate.and.Above","X0...4.years","X5...14.years","X15...59.years","X60.years.and.above..Incl..A.N.S..","Total.workers","Main.workers","Marginal.workers","Non.workers","SC.1.Name","SC.1.Population","SC.2.Name","SC.2.Population","SC.3.Name","SC.3.Population","Religeon.1.Name","Religeon.1.Population","Religeon.2.Name","Religeon.2.Population","Religeon.3.Name","Religeon.3.Population","ST.1.Name","ST.1.Population","ST.2.Name","ST.2.Population","ST.3.Name","ST.3.Population","Imp.Town.1.Name","Imp.Town.1.Population","Imp.Town.2.Name","Imp.Town.2.Population","Imp.Town.3.Name","Imp.Town.3.Population","Total.Inhabited.Villages","Drinking.water.facilities","Safe.Drinking.water","Electricity..Power.Supply.","Electricity..domestic.","Electricity..Agriculture.","Primary.school","Middle.schools","Secondary.Sr.Secondary.schools","College","Medical.facility","Primary.Health.Centre","Primary.Health.Sub.Centre","Post..telegraph.and.telephone.facility","Bus.services","Paved.approach.road","Mud.approach.road","Permanent.House","Semi.permanent.House","Temporary.House"
"1","AN","District Andamans (01), Andaman & Nicobar Islands (35)",314084,170319,143765,"30.14","197886","116198","-","-",70167,4,844,959,"2904","0.92",226600,131223,95377,82.49,87.36,76.62,226600,1623,48339,62233,49731,50748,13909,27505,64496,204928,17155,116631,100683,15948,197453,"No Scheduled Castes in this area",NA,NA,NA,NA,NA,"1.Hindus",235862,"2.Christians",49033,"3.Muslims",27134,"1.Nicobarese","2486","2.Jarawas","240","3.Onges","96","1.Port Blair (M Cl)",99984,"2.Garacharma (CT)",9427,"3.Bambooflat (CT)",6787,331,331,293,233,"148","16",185,"83","71","1","102","16","78",161,"187","201","243",28.7,39.1,32
"2","AN","District Nicobars (02), Andaman & Nicobar Islands (35)",42068,22653,19415,"7.19","42068","-","-","-",8075,5,857,936,"26565","63.15",26535,15608,10927,72.35,78.55,65.01,26535,346,5062,8544,6439,5150,994,3736,8307,27535,2490,19623,12924,6699,22445,"No Scheduled Castes in this area",NA,NA,NA,NA,NA,"1.Christians",28145,"2.Hindus",10727,"3.Muslims",2131,"1.Nicobarese","26167","2.Shom Pens","398","3.All Scheduled Tribes","26565","No Urban Area",NA,NA,NA,NA,NA,170,169,163,96,"93","-",53,"25","22","-","38","4","31",36,"49","51","111",28,33.3,38.7
"3","Andhra","District Adilabad (01), Andhra Pradesh (28)",2488003,1250958,1237045,"19.06","1827986",NA,NA,NA,524649,5,989,962,"416511","16.74",1112189,688072,424117,52.68,64.98,40.3,1112189,46680,347433,305503,114789,254169,43564,243389,659331,1417252,168031,1123248,912287,210961,1364755,NA,154470,NA,147883,NA,73083,NA,2207843,NA,236844,NA,24392,"1.Gond etc.","200944","2.Sugalis etc.","103303","3.Kolam etc.","45437",NA,109529,NA,75254,"(M)",70381,1586,1585,1580,1585,"-","-",1521,"429","196",NA,"976","61","432",558,"814","979","544",53,39.9,7
"4","Andhra","District Nizamabad (02), Andhra Pradesh (28)",2345685,1162905,1182780,"14.98","1920947",NA,NA,NA,484588,5,1017,958,"165735","7.07",1044788,642996,401792,52.02,64.91,39.48,1044788,43604,288554,304556,106517,249549,51926,216402,567129,1382370,179784,1159606,971911,187695,1186079,"1.Madiga",168229,"2.Mala",157187,"3.Gosangi",9760,"1.Hindus",1983275,"2.Muslims",338824,"3.Christians",16204,"1.Sugalis etc.","142355","2.Gond etc.","13971","3.Yerukulas","5409","1.Nizamabad (M)",288722,"2.Bodhan (M)",71520,"3.Kamareddy (M)",64496,854,854,854,854,"-","-",839,"417","256",NA,"614","50","330",602,"746","760","82",52.8,37.6,9.6
"5","Andhra","District Karimnagar (03), Andhra Pradesh (28)",3491822,1747968,1743854,"14.47","2813010",NA,NA,NA,813797,4,998,961,"90636","2.6",1661089,1013328,647761,54.9,67.09,42.75,1661089,57595,445208,478883,189226,409110,81001,302570,796148,2077569,315535,1711559,1458954,252605,1780263,"1.Madiga",396594,"2.Mala",193030,"3.Mala Sale etc.",25595,"1.Hindus",3251834,"2.Muslims",213811,"3.Christians",20576,"1.Sugalis etc.","51157","2.Gond etc.","13275","3.Yerukulas","13215","1.Ramagundam (M)",236600,"2.Karimnagar (M)",205653,"3.Jagtial (M)",85521,1047,1047,1046,1047,"-","-",1039,"668","391",NA,"863","70","475",795,"912","823","218",55.8,36.4,7.8
"6","Andhra","District Medak (04), Andhra Pradesh (28)",2670097,1352446,1317651,"17.29","2286573",NA,NA,NA,521018,5,974,964,"134533","5.04",1171134,738208,432926,51.65,64.33,38.66,1171134,56841,339163,322529,118592,282352,51608,255985,677807,1523368,212937,1293657,1060051,233606,1376440,"1.Madiga",271203,"2.Mala",172595,"3.Beda Jangam etc.",7704,"1.Hindus",2334169,"2.Muslims",296486,"3.Christians",34651,"1.Sugalis etc.","118642","2.Yerukulas","13264","3.Generic Tribes etc.","1358","1.Siddipet (M)",61809,"2.Sangareddy (M)",57113,"3.Ramachandrapuram (CT)",52363,1225,1225,1225,1225,"-","-",1215,"555","274",NA,"659","58","360",803,"1007","978","239",49.3,42.6,8.1
"7","Andhra","District Hyderabad (05), Andhra Pradesh (28)",3829753,1981173,1848580,"17.18","-",NA,NA,NA,695906,6,933,942,"34560","0.9",2634949,1449602,1185347,78.8,83.74,73.5,2634949,104630,347414,561772,244588,909398,466744,319253,864415,2401792,244293,1119842,1032298,87544,2709911,"1.Madiga",150377,"2.Mala",108135,"3.Generic Castes etc.",31460,"1.Hindus",2121963,"2.Muslims",1576583,"3.Christians",92915,"1.Sugalis etc.","17145","2.Yerukulas","6595","3.Generic Tribes etc.","5059","1.Hyderabad (M Corp.) (Part)",3612427,"2.Secunderabad Cantonment Boar2d0(6C,1B0)2",NA,"3.Osmania University (CT)",11224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86,11.9,2
"8","Andhra","District Rangareddi (06), Andhra Pradesh (28)",3575064,1839227,1735837,"37.41","1637227",NA,NA,NA,742590,5,944,959,"146057","4.09",2034381,1192100,842281,66.16,75.26,56.49,2034381,78742,404250,489521,193364,607300,260503,324169,842909,2173360,234626,1437606,1264403,173203,2137458,"1.Madiga",333075,"2.Mala",152645,"3.Generic Castes etc.",10322,"1.Hindus",3063118,"2.Muslims",408281,"3.Christians",89893,"1.Sugalis etc.","123753","2.Yerukulas","11340","3.Koya etc.","4394","1.Kukatpally (M)",292289,"2.Lal Bahadur Nagar (M)",268689,"3.Qutubullapur (M)",231108,860,860,860,858,"-","-",839,"405","238",NA,"422","30","225",638,"713","731","122",78.6,18.2,3.1
"9","Andhra","District Mahbubnagar (07), Andhra Pradesh (28)",3513934,1782340,1731594,"13.97","3142579",NA,NA,NA,688212,5,972,951,"278702","7.93",1317521,850414,467107,44.41,56.63,31.89,1317521,66105,371893,353924,128269,329607,67575,345446,937792,1969070,261626,1823329,1482426,340903,1690605,"1.Madiga",463547,"2.Mala",106122,"3.Generic Castes etc.",15072,"1.Hindus",3193932,"2.Muslims",296975,"3.Christians",18800,"1.Sugalis etc.","246810","2.Yerukulas","21039","3.Chenchu etc.","8272","1.Mahbubnagar (M)",130986,"2.Gadwal (M)",50941,"3.Wanaparthy (NP)",50114,1477,1475,1468,1477,"-","-",1456,"658","335",NA,"881","76","517",1044,"1230","1127","340",39.9,34.7,25.4
"10","Andhra","District Nalgonda (08), Andhra Pradesh (28)",3247982,1651990,1595992,"13.55","2815304",NA,NA,NA,723015,4,966,951,"342676","10.55",1595643,981875,613768,57.15,69.23,44.68,1595643,67688,474835,439802,175590,352049,85612,295103,801673,1876515,274691,1594666,1308907,285759,1653316,"1.Madiga",420451,"2.Mala",135577,"3.Beda Jangam etc.",8268,"1.Hindus",3040212,"2.Muslims",170553,"3.Christians",32452,"1.Sugalis etc.","320959","2.Yerukulas","18531","3.Chenchu etc.","992","1.Nalgonda (M)",110286,"2.Suryapet (M)",93239,"3.Miryalaguda (M)",90886,1124,1124,1124,1124,"-","-",1098,"599","367",NA,"872","69","493",826,"1020","934","185",50.1,26.9,23
